User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
6.0,142823424.0,1,1,4,853,3,1,1,0,0.0
2797.0,211189760.0,0,1,17,1025,3,1,10,3,0.99
697.0,164793344.0,1,0,9,2920,3,1,6,10,49.99
7.0,9850880.0,0,0,4,1404,4,1,2,0,0.0
18.0,31581184.0,1,1,12,866,5,1,1,0,0.0
239.0,169892864.0,1,1,9,2424,3,1,11,6,89.99
7672.0,159821824.0,0,1,12,1622,3,1,6,10,99.99
6239.0,280869888.0,1,1,9,2699,2,1,12,10,19.99
24.0,49491968.0,0,1,9,711,4,1,1,2,2.99
42.0,61142016.0,1,1,4,793,6,1,2,0,0.0
39.0,78341120.0,1,1,9,1101,5,1,2,7,79.99
67.0,102100992.0,0,0,4,332,4,1,1,9,17.99
1765.0,317263872.0,1,1,12,2721,3,1,1,10,9.99
13.0,406896640.0,0,1,12,856,3,1,1,3,4.99
17.0,656250880.0,1,1,12,706,5,1,11,10,29.99
10.0,35073024.0,0,0,9,1481,4,1,1,1,1.99
11.0,29678592.0,0,0,12,465,3,1,1,0,0.0
32.0,122772480.0,0,1,17,274,3,1,1,4,7.99
7.0,121027584.0,1,1,17,1014,6,1,1,3,9.99
596.0,143496192.0,0,1,9,1408,3,1,1,10,49.99
6.0,13602816.0,0,1,4,483,3,1,2,0,0.0
4284.0,296724480.0,1,1,4,2139,4,1,9,10,49.99
118.0,19984384.0,0,1,12,1842,3,1,2,6,99.99
53.0,291180544.0,1,1,17,1558,4,1,1,4,47.99
1032.0,73037824.0,0,1,9,2413,4,1,7,10,49.99
7.0,57376768.0,0,0,12,1014,4,1,10,0,0.0
557.0,164403200.0,0,1,12,1266,3,1,1,10,31.99
651.0,104222720.0,1,1,9,2461,4,1,2,10,99.99
129.0,173299712.0,1,1,9,1353,3,1,1,4,9.99
22.0,848665600.0,1,0,4,2777,4,1,1,0,0.0
63431.0,704219136.0,1,1,9,1081,4,1,11,10,99.99
13156.0,158792704.0,1,1,4,2771,4,1,2,6,19.99
5.0,67229696.0,0,1,4,380,4,1,32,0,0.0
8.0,65466368.0,0,1,4,1063,3,1,1,5,24.99
96.0,52461568.0,0,1,4,1159,3,1,1,10,9.99
2933.0,27334656.0,0,1,4,691,3,1,1,0,0.0
4136.0,179816448.0,0,0,9,1834,3,1,1,0,0.0
470.0,16728064.0,0,1,9,321,4,1,16,1,0.99
2336.0,112144384.0,0,1,12,1720,4,1,15,10,99.99
17056.0,55803904.0,0,0,4,1473,4,1,1,10,5.99
