User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
32.0,252249088.0,0,0,4,1707,4,1,1,0,0.0
41.0,27611136.0,1,1,4,172,4,1,1,0,0.0
12.0,61551616.0,0,1,4,923,4,1,6,4,5.99
60.0,1205248.0,0,1,4,1291,3,1,1,10,3.99
15.0,25523985.0,0,1,12,1248,6,1,1,3,1.99
442.0,228242432.0,1,1,4,3770,7,1,1,10,25.99
56.0,433802240.0,1,1,17,1592,5,1,1,6,109.99
1585.0,76681179.0,0,1,4,1078,4,1,1,1,4.99
13.0,21069824.0,0,1,4,807,3,1,25,1,0.99
5.0,236194816.0,0,1,4,1898,4,1,4,0,0.0
36357.0,461613056.0,1,1,4,3154,4,1,5,10,19.99
5.0,23142400.0,0,1,4,33,4,1,1,0,0.0
6.0,15204352.0,0,1,4,262,4,1,1,0,0.0
6.0,972133376.0,1,0,12,2567,4,1,1,0,0.0
260.0,61373825.0,0,1,4,962,5,1,2,3,1.99
17782.0,176524288.0,1,1,12,3056,4,1,3,10,9.99
35.0,139767808.0,1,1,9,855,2,1,1,0,0.0
12.0,32636928.0,0,1,4,316,4,1,1,7,1.99
6839.0,214619136.0,0,1,4,1053,3,1,4,1,3.99
9.0,32430080.0,0,1,4,537,4,1,1,0,0.0
63.0,27623424.0,0,0,4,605,3,1,17,0,0.0
546.0,238166016.0,1,1,9,1840,3,1,11,3,19.99
13.0,219815936.0,0,1,4,665,4,1,1,4,11.99
12.0,32832512.0,0,1,9,1252,4,1,1,0,0.0
7.0,3824640.0,0,0,4,357,4,1,1,0,0.0
663.0,19929855.0,0,1,9,1682,4,1,1,3,0.99
557.0,9916416.0,1,1,4,1173,4,1,1,1,2.99
357.0,183504896.0,0,1,12,1297,4,1,3,10,99.99
18.0,51298304.0,0,1,4,669,4,1,1,1,0.99
11.0,50012160.0,0,1,4,767,4,1,1,7,9.99
139.0,18542592.0,0,1,4,293,5,1,1,0,0.0
158.0,32805888.0,0,0,4,919,4,1,2,0,0.0
6.0,19245056.0,1,1,4,774,4,1,1,0,0.0
8.0,27721728.0,0,1,9,830,4,1,1,1,0.99
275.0,20570112.0,0,1,9,1544,5,1,2,5,99.99
41.0,45468648.0,0,1,9,410,3,1,5,0,0.0
68.0,56167424.0,0,1,17,708,4,1,2,10,3.99
27.0,57605120.0,1,1,4,781,3,1,1,10,19.99
13.0,1022275584.0,0,0,12,1786,4,1,1,3,1.99
27.0,223562752.0,1,1,4,2410,4,1,10,10,94.99
30.0,86454272.0,0,1,4,472,4,1,1,1,1.99
1445.0,54063104.0,0,1,12,2119,4,1,1,5,19.99
7.0,73945088.0,1,0,9,818,3,1,1,0,0.0
126.0,55599104.0,0,1,4,1241,4,1,1,9,49.99
10.0,1503232.0,0,1,4,1897,4,1,1,0,0.0
6.0,18186240.0,0,1,4,69,4,1,1,0,0.0
486.0,324401152.0,1,0,4,2399,3,1,1,0,0.0
886.0,284123136.0,0,0,12,1834,3,1,1,1,0.99
111.0,404869120.0,1,1,4,3227,6,1,6,10,9.99
7.0,49222656.0,0,1,4,2521,3,1,1,0,0.0
51.0,185618432.0,1,0,12,3556,3,1,7,0,0.0
175.0,23108608.0,0,1,4,521,4,1,1,3,1.99
10.0,316790784.0,0,1,4,1666,5,1,1,6,19.99
49.0,186805248.0,1,1,4,1072,4,1,1,0,0.0
1737.0,216788992.0,1,1,4,2669,4,1,22,10,24.99
152.0,419472733.0,0,1,9,3921,3,1,1,0,0.0
48.0,50360320.0,0,1,4,1891,4,1,1,10,7.99
827.0,173205504.0,0,0,12,965,4,1,1,6,1.99
6.0,995373056.0,0,1,4,1238,4,1,1,1,1.99
6.0,62748672.0,1,1,4,989,3,1,1,4,9.99
51.0,1279717376.0,1,1,12,2277,3,1,4,10,29.99
14.0,89626624.0,0,1,17,474,3,1,1,0,0.0
33.0,102760448.0,0,1,4,1139,3,1,6,4,99.99
10.0,23486464.0,0,1,4,1535,4,1,1,2,0.99
173.0,45649920.0,1,1,9,1680,6,1,1,10,99.99
127.0,213453824.0,1,1,4,2190,5,1,10,10,99.99
12.0,86262784.0,1,1,17,2178,4,1,1,0,0.0
5.0,217107456.0,1,1,9,2426,4,1,18,12,24.99
12.0,41877504.0,1,0,4,1666,4,1,3,2,2.99
627.0,96784384.0,0,1,12,2220,4,1,11,10,99.99
305.0,599628800.0,0,1,12,1535,4,1,1,4,2.99
145.0,55845888.0,0,1,4,347,4,1,1,0,0.0
7.0,62040064.0,0,1,4,516,4,1,8,3,1.99
19.0,532639744.0,0,1,4,2155,2,1,11,1,4.99
3252.0,473841664.0,0,1,12,1759,4,1,3,10,29.99
928.0,523014144.0,1,1,12,1848,4,1,8,10,99.99
160.0,134860800.0,1,1,4,963,3,1,25,10,19.99
31.0,258844672.0,0,1,4,1656,4,1,6,1,4.99
1419.0,29578240.0,0,0,4,2639,4,1,1,0,0.0
10.0,91874304.0,1,1,4,3195,4,1,1,0,0.0
721.0,254646272.0,0,1,12,2225,4,1,10,5,4.99
10.0,34791424.0,0,1,4,418,3,1,1,10,14.99
32.0,27377664.0,0,1,4,1543,4,1,1,0,0.0
10.0,425966592.0,1,1,9,1445,4,1,1,3,9.99
237.0,70290432.0,1,1,12,3965,5,1,1,10,4.99
69.0,125702144.0,0,1,4,1490,4,1,1,3,1.99
1122.0,110874384.0,0,1,9,1587,3,1,5,4,9.99
5.0,22953984.0,1,1,9,250,3,1,1,1,0.99
139.0,10950039.0,0,1,4,560,4,1,3,0,0.0
275.0,17248256.0,0,1,4,879,4,1,1,1,0.99
8.0,13668352.0,0,1,9,621,5,1,1,3,29.99
